,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
135,002594.SZ,20210429,162.8405,164.7686,162.0413,162.7906,165.3381,-2.547499999999985,-1.5408,275854.04,4496785.166
136,002594.SZ,20210428,164.6987,168.3751,162.8005,165.3381,164.7786,0.5594999999999857,0.3395,218411.98,3621682.455
137,002594.SZ,20210427,165.8376,167.2362,163.2401,164.7786,167.3361,-2.557499999999976,-1.5284,255639.21,4211994.738
138,002594.SZ,20210426,169.8337,172.8307,167.0864,167.3361,169.0844,-1.7483000000000004,-1.034,319514.1,5432612.153
139,002594.SZ,20210423,167.0164,171.2123,166.1073,169.0844,168.5449,0.5394999999999754,0.3201,228827.99,3878511.212
140,002594.SZ,20210422,169.8337,171.6119,167.0564,168.5449,168.425,0.11990000000000123,0.0712,197508.44,3336754.764
141,002594.SZ,20210421,168.8346,170.4231,167.0064,168.425,171.0724,-2.647399999999976,-1.5475,230488.88,3880491.43
142,002594.SZ,20210420,174.8288,174.8288,169.6139,171.0724,175.8777,-4.805300000000017,-2.7322,375677.03,6460740.489
143,002594.SZ,20210419,164.8386,176.8268,164.0194,175.8777,165.1383,10.739400000000018,6.5033,507350.5,8764759.455
144,002594.SZ,20210416,165.2382,166.2372,160.1731,165.1383,165.3381,-0.1998000000000104,-0.1208,234599.44,3837152.368
145,002594.SZ,20210415,168.3351,168.485,163.34,165.3381,170.7827,-5.444600000000008,-3.188,249912.13,4136742.969
146,002594.SZ,20210414,166.8366,170.8327,166.8366,170.7827,163.8495,6.933199999999999,4.2314,298473.17,5057752.083
147,002594.SZ,20210413,163.32,167.466,163.32,163.8495,163.3001,0.5494000000000199,0.3364,158578.94,2617908.978
148,002594.SZ,20210412,166.5669,169.2243,162.4409,163.3001,166.5569,-3.256800000000027,-1.9554,201268.0,3320602.667
149,002594.SZ,20210409,171.7318,171.9316,165.8376,166.5569,170.3132,-3.7562999999999818,-2.2055,204995.77,3436476.688
150,002594.SZ,20210408,168.8346,171.3322,166.9565,170.3132,170.8227,-0.5095000000000027,-0.2983,160043.06,2723993.028
151,002594.SZ,20210407,176.9767,177.9058,169.3341,170.8227,175.9177,-5.094999999999999,-2.8962,281703.5,4848030.064
152,002594.SZ,20210406,176.627,179.0646,172.6309,175.9177,175.6979,0.21979999999999222,0.1251,255909.85,4492985.632
153,002594.SZ,20210402,170.8227,178.0256,168.415,175.6979,168.9046,6.793300000000016,4.022,349532.0,6083577.384
154,002594.SZ,20210401,167.8356,171.7318,166.8466,168.9046,164.349,4.555599999999998,2.7719,299957.8,5089544.668
155,002594.SZ,20210331,169.0444,172.4711,162.4009,164.349,168.8346,-4.485600000000005,-2.6568,270153.03,4488285.761
156,002594.SZ,20210330,160.8425,168.8346,158.9443,168.8346,167.9355,0.8991000000000042,0.5354,338930.9,5574391.479
157,002594.SZ,20210329,169.8436,170.3132,164.6387,167.9355,170.8227,-2.887200000000007,-1.6902,234728.64,3941708.905
158,002594.SZ,20210326,162.8505,171.8317,162.7406,170.8227,161.0423,9.780399999999986,6.0732,328530.32,5528686.167
159,002594.SZ,20210325,156.8464,163.2901,155.4477,161.0423,162.5808,-1.538499999999999,-0.9463,256190.64,4082120.997
160,002594.SZ,20210324,167.8256,169.0744,161.8415,162.5808,168.8047,-6.223899999999986,-3.687,248269.3,4082242.404
161,002594.SZ,20210323,175.628,176.0076,166.1373,168.8047,173.6299,-4.825199999999995,-2.779,226648.97,3844462.853
162,002594.SZ,20210322,172.1614,175.3083,169.8436,173.6299,170.9825,2.6474000000000046,1.5483,185682.91,3221954.915
163,002594.SZ,20210319,172.8307,175.1984,169.494,170.9825,178.3753,-7.3928000000000225,-4.1445,258227.22,4438615.91
164,002594.SZ,20210318,178.6151,180.4533,177.1065,178.3753,176.7069,1.6684000000000196,0.9442,201064.37,3593541.02
165,002594.SZ,20210317,173.8497,179.7939,171.3122,176.7069,176.2973,0.4095999999999833,0.2323,213705.28,3770679.57
166,002594.SZ,20210316,177.4062,178.9248,173.2004,176.2973,174.0895,2.20780000000002,1.2682,197056.4,3474844.999
167,002594.SZ,20210315,178.3753,180.8229,171.8317,174.0895,181.5022,-7.412700000000001,-4.0841,295602.39,5187723.277
168,002594.SZ,20210312,185.9878,187.8061,178.725,181.5022,182.791,-1.288800000000009,-0.7051,301848.22,5517620.552
169,002594.SZ,20210311,176.7769,184.819,173.9296,182.791,177.0166,5.774399999999986,3.2621,367827.9,6671343.291
170,002594.SZ,20210310,179.8239,181.702,175.608,177.0166,170.513,6.503600000000006,3.8141,431507.17,7706833.381
171,002594.SZ,20210309,172.2413,178.4252,161.8715,170.513,176.5571,-6.044099999999986,-3.4233,599204.95,10247665.524
172,002594.SZ,20210308,196.1779,197.1369,176.5571,176.5571,196.1779,-19.620800000000003,-10.0015,591328.23,10922889.31
173,002594.SZ,20210305,187.1867,199.3148,185.9978,196.1779,198.3058,-2.127900000000011,-1.073,325319.09,6313240.677
174,002594.SZ,20210304,204.7994,204.8993,197.1069,198.3058,209.5448,-11.239000000000004,-5.3635,346849.91,6955695.359
175,002594.SZ,20210303,204.7994,210.0942,201.7724,209.5448,211.1932,-1.648399999999981,-0.7805,263061.8,5431739.316
176,002594.SZ,20210302,214.44,215.5888,205.0192,211.1932,210.6936,0.4995999999999867,0.2371,387928.35,8178911.875
177,002594.SZ,20210301,200.8033,210.7836,197.3068,210.6936,197.077,13.616600000000005,6.9093,444293.51,9087918.556
178,002594.SZ,20210226,196.3077,203.8004,193.8102,197.077,209.0453,-11.9683,-5.7252,503616.02,9978745.767
179,002594.SZ,20210225,215.5589,215.6388,205.5986,209.0453,208.7855,0.25979999999998427,0.1244,369532.22,7788184.186
180,002594.SZ,20210224,224.7798,228.3663,203.4008,208.7855,224.7798,-15.994299999999981,-7.1155,676485.18,14532205.192
181,002594.SZ,20210223,229.3654,234.79,222.6819,224.7798,239.2856,-14.505799999999994,-6.0621,476510.22,10877530.627
182,002594.SZ,20210222,256.3489,256.4089,239.2157,239.2856,257.0982,-17.81260000000003,-6.9283,427130.93,10558143.268
183,002594.SZ,20210219,254.6506,257.4079,245.4896,257.0982,258.7366,-1.63839999999999,-0.6332,382587.02,9607262.916
184,002594.SZ,20210218,268.5969,268.5969,255.0802,258.7366,266.6888,-7.952200000000005,-2.9818,472645.58,12353076.536
185,002594.SZ,20210210,260.7446,270.3952,252.7524,266.6888,256.7485,9.940300000000036,3.8716,418938.71,10995341.387
186,002594.SZ,20210209,252.8523,258.7666,247.2578,256.7485,249.9552,6.793299999999988,2.7178,374954.28,9540424.163
187,002594.SZ,20210208,248.7464,252.7325,239.7752,249.9552,248.7564,1.1987999999999772,0.4819,372461.77,9210843.639
188,002594.SZ,20210205,261.7436,268.0175,247.2578,248.7564,259.6457,-10.889299999999963,-4.1939,480550.51,12356334.243
189,002594.SZ,20210204,257.7476,264.6308,255.0902,259.6457,262.7427,-3.097000000000037,-1.1787,310350.9,8061146.636
190,002594.SZ,20210203,267.8377,273.1025,260.0453,262.7427,267.2383,-4.495599999999968,-1.6822,384029.52,10231620.474
191,002594.SZ,20210202,251.7534,267.7378,250.2549,267.2383,246.6484,20.58989999999997,8.3479,471099.97,12220620.147
192,002594.SZ,20210201,244.7603,249.8853,238.7661,246.6484,246.7583,-0.1098999999999819,-0.0445,263794.5,6500021.796
193,002594.SZ,20210129,248.7564,250.185,237.2676,246.7583,244.1209,2.6373999999999853,1.0804,335982.69,8182542.031
194,002594.SZ,20210128,245.7293,252.2529,242.7423,244.1209,256.7485,-12.627599999999973,-4.9183,326461.75,8081858.717
195,002594.SZ,20210127,249.9552,259.1861,234.2705,256.7485,253.9713,2.777199999999965,1.0935,521351.0,12813494.921
196,002594.SZ,20210126,256.7485,262.3331,250.7444,253.9713,259.7456,-5.774300000000011,-2.2231,394555.44,10115831.947
197,002594.SZ,20210125,246.2588,262.6927,244.7603,259.7456,242.6823,17.063300000000027,7.0311,559388.94,14213433.428
198,002594.SZ,20210122,235.4894,243.4216,231.2835,242.6823,235.2895,7.392799999999994,3.142,423886.78,10112061.191
199,002594.SZ,20210121,219.7847,239.3656,216.5979,235.2895,221.7828,13.506699999999995,6.0901,585709.87,13384594.647
200,002594.SZ,20210120,219.6848,226.0786,217.7967,221.7828,215.9885,5.794300000000021,2.6827,381401.08,8483028.913
201,002594.SZ,20210119,221.8427,224.9796,213.351,215.9885,221.4731,-5.4846,-2.4764,276250.13,6035553.036
202,002594.SZ,20210118,219.7847,223.7808,216.0484,221.4731,224.9796,-3.506500000000017,-1.5586,263789.33,5826658.747
203,002594.SZ,20210115,221.7828,228.696,216.2882,224.9796,223.7309,1.2487000000000137,0.5581,377050.46,8420560.824
204,002594.SZ,20210114,231.773,235.2196,222.1224,223.7309,239.0659,-15.335000000000008,-6.4145,445955.02,10176085.741
205,002594.SZ,20210113,237.7671,249.6355,229.4653,239.0659,236.7581,2.307799999999986,0.9748,480347.87,11590837.002
206,002594.SZ,20210112,231.5732,239.5154,219.7847,236.7581,234.6302,2.127900000000011,0.9069,433124.58,9980651.742
207,002594.SZ,20210111,234.3605,244.7603,230.754,234.6302,227.2874,7.342800000000011,3.2306,534254.66,12681067.407
208,002594.SZ,20210108,232.772,234.0907,220.4841,227.2874,224.8198,2.4676000000000045,1.0976,426758.36,9705879.745
209,002594.SZ,20210107,216.3881,228.0966,213.9904,224.8198,216.0884,8.73139999999998,4.0407,428602.54,9516502.256
210,002594.SZ,20210106,219.505,221.9626,211.7926,216.0884,219.6848,-3.5963999999999885,-1.6371,434652.14,9376648.611
211,002594.SZ,20210105,205.7984,221.0135,201.8123,219.6848,206.5577,13.127099999999984,6.3552,545305.97,11642247.812
212,002594.SZ,20210104,188.8151,210.9534,186.9069,206.5577,194.1099,12.4478,6.4128,589501.61,11803190.657
213,002594.SZ,20201231,188.6752,195.6384,184.0797,194.1099,185.818,8.291899999999998,4.4624,505119.42,9665582.055
214,002594.SZ,20201230,180.4832,191.7622,180.4832,185.818,178.4252,7.3928000000000225,4.1434,510431.08,9559070.846
215,002594.SZ,20201229,185.818,185.818,178.2854,178.4252,187.7461,-9.320900000000023,-4.9646,361177.82,6530622.526
216,002594.SZ,20201228,184.1197,190.1837,182.4213,187.7461,185.0388,2.7073000000000036,1.4631,303384.31,5674752.366
217,002594.SZ,20201225,183.1406,185.9679,180.9228,185.0388,182.8209,2.2179000000000144,1.2132,211330.69,3892733.282
218,002594.SZ,20201224,184.819,184.819,179.8239,182.8209,186.6072,-3.7863000000000113,-2.029,260453.54,4739171.492
219,002594.SZ,20201223,183.7101,190.6133,182.781,186.6072,183.82,2.787200000000013,1.5163,427079.45,7982526.892
220,002594.SZ,20201222,192.7912,192.7912,183.4803,183.82,193.4106,-9.590599999999995,-4.9587,586810.41,11044848.425
221,002594.SZ,20201221,176.3273,193.4106,175.3283,193.4106,175.8278,17.58279999999999,10.0,667797.63,12342923.957
222,002594.SZ,20201218,172.3312,179.9138,171.0525,175.8278,171.6219,4.2058999999999855,2.4507,488485.1,8625943.227
223,002594.SZ,20201217,171.0125,172.7608,168.8446,171.6219,171.7018,-0.07989999999998076,-0.0465,189772.6,3245175.544
224,002594.SZ,20201216,175.8278,176.5271,170.7328,171.7018,174.5291,-2.827300000000008,-1.62,238153.85,4110951.042
225,002594.SZ,20201215,170.0834,174.8787,168.3351,174.5291,170.0335,4.495599999999996,2.6439,362218.02,6234488.461
226,002594.SZ,20201214,166.6368,170.7128,162.8405,170.0335,166.8366,3.1968999999999994,1.9162,302132.25,5064250.844
227,002594.SZ,20201211,169.1843,169.1843,162.6407,166.8366,169.3541,-2.517499999999984,-1.4865,354878.18,5902635.219
228,002594.SZ,20201210,167.8356,171.492,165.8576,169.3541,173.0705,-3.7164000000000215,-2.1473,370436.28,6243808.669
229,002594.SZ,20201209,178.8249,180.8529,172.8307,173.0705,177.7959,-4.725399999999979,-2.6578,315714.47,5563503.434
230,002594.SZ,20201208,177.9257,181.8219,176.5271,177.7959,175.1185,2.6773999999999774,1.5289,445743.24,7995315.241
231,002594.SZ,20201207,171.1324,176.4871,168.9445,175.1185,171.6918,3.426700000000011,1.9958,322185.89,5617848.45
232,002594.SZ,20201204,171.4321,178.625,170.2333,171.6918,170.9226,0.7692000000000121,0.45,394489.88,6888910.896
233,002594.SZ,20201203,169.5839,173.4901,166.7966,170.9226,169.5839,1.3386999999999887,0.7894,365580.81,6251135.998
234,002594.SZ,20201202,170.9326,172.3312,167.8356,169.5839,176.637,-7.053100000000001,-3.993,492401.38,8354836.225
235,002594.SZ,20201201,168.5349,176.8268,166.8366,176.637,171.9816,4.655400000000014,2.7069,401564.31,6983133.536
236,002594.SZ,20201130,171.3322,176.5671,165.8476,171.9816,173.9296,-1.9480000000000075,-1.12,379212.83,6493585.105
237,002594.SZ,20201127,175.1385,177.7259,169.1643,173.9296,175.648,-1.7184000000000026,-0.9783,397476.15,6868605.93
238,002594.SZ,20201126,183.4303,184.6192,171.0625,175.648,183.3504,-7.7024000000000115,-4.2009,496538.19,8751195.066
239,002594.SZ,20201125,182.8209,191.5124,180.4233,183.3504,184.0098,-0.6594000000000051,-0.3584,473857.64,8798105.734
240,002594.SZ,20201124,191.5824,194.7992,180.5332,184.0098,184.0198,-0.009999999999990905,-0.0054,646752.09,12193378.658
241,002594.SZ,20201123,176.7269,184.839,171.9016,184.0198,175.8877,8.132100000000008,4.6235,604026.64,10841291.967
242,002594.SZ,20201120,164.4889,177.0666,163.0603,175.8877,161.4619,14.425799999999981,8.9345,707526.94,12067220.425
243,002594.SZ,20201119,167.8356,168.5349,159.3639,161.4619,166.8366,-5.37469999999999,-3.2215,470054.4,7652210.663
244,002594.SZ,20201118,165.7177,169.0145,162.0912,166.8366,166.8366,0.0,0.0,417033.16,6941378.987
245,002594.SZ,20201117,173.3302,175.0086,164.2991,166.8366,169.8536,-3.016999999999996,-1.7762,568409.34,9641027.028
246,002594.SZ,20201116,170.8627,171.3322,163.34,169.8536,175.7279,-5.874300000000005,-3.3428,542565.39,9094656.059
247,002594.SZ,20201113,179.8239,181.8419,173.1204,175.7279,169.1643,6.563600000000008,3.88,609193.92,10790305.828
248,002594.SZ,20201112,167.8356,173.1304,165.6178,169.1643,164.1892,4.975099999999998,3.0301,586639.61,9953360.351
249,002594.SZ,20201111,176.7269,181.712,164.1592,164.1892,182.4014,-18.212199999999996,-9.9847,805675.15,13840949.837
250,002594.SZ,20201110,186.6772,186.6971,176.7069,182.4014,190.7632,-8.361800000000017,-4.3833,635349.5,11543486.452
251,002594.SZ,20201109,191.4125,193.4805,183.9398,190.7632,190.2537,0.5095000000000027,0.2678,525016.12,9934097.169
252,002594.SZ,20201106,189.3146,198.6554,179.714,190.2537,184.6491,5.604600000000005,3.0353,807666.85,15261972.051
